0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:57 +0900] "GET /nawa/assets/images/courses/4by3/12.jpg HTTP/1.1" 200 6193
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:57 +0900] "GET /nawa/assets/images/courses/4by3/06.jpg HTTP/1.1" 200 5305
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:57 +0900] "GET /nawa/assets/images/courses/4by3/05.jpg HTTP/1.1" 200 7100
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:57 +0900] "GET /nawa/assets/images/courses/4by3/09.jpg HTTP/1.1" 200 4775
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:57 +0900] "GET /nawa/assets/images/courses/4by3/10.jpg HTTP/1.1" 200 4225
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:57 +0900] "GET /nawa/assets/images/courses/4by3/13.jpg HTTP/1.1" 200 4630
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:57 +0900] "GET /nawa/assets/images/courses/4by3/01.jpg HTTP/1.1" 200 5955
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:57 +0900] "GET /nawa/assets/images/client/google-play.svg HTTP/1.1" 200 10322
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:57 +0900] "GET /nawa/assets/images/client/app-store.svg HTTP/1.1" 200 7973
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:57 +0900] "GET /nawa/assets/images/flags/uk.svg HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:57 +0900] "GET /nawa/assets/images/flags/gr.svg HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:57 +0900] "GET /nawa/assets/images/flags/sp.svg HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:57 +0900] "GET /nawa/assets/images/pattern/01.png HTTP/1.1" 200 91943
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:57 +0900] "GET /nawa/assets/vendor/font-awesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78268
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:57 +0900] "GET /nawa/assets/vendor/font-awesome/webfonts/fa-brands-400.woff2 HTTP/1.1" 200 76736
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:57 +0900] "GET /nawa/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?2820a3852bdb9a5832199cc61cec4e65 HTTP/1.1" 200 130608
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:57 +0900] "GET /nawa/assets/images/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:57 +0900] "GET /nawa/assets/vendor/font-awesome/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13224
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:27:47 +0900] "GET /nawa/meetList HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:27:47 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
